date	canada	usa	o_america	brunei	indonesia	malaysia	myanmar	philippines	thailand	vietnam	o_se_asia	hk	japan	china	skorea	taiwan	o_nasia	bangladesh	india	nepal	pakistan	sri lanka	o_sasia	iran	israel	kuwait	sarabia	uae	o_wasia	austria	belgium&lux	denmark	finland	france	germany	greece	italy	netherlands	norway	poland	ireland	russia	spain	sweden	switzerland	turkey	uk	o_eeurope	o_weurope	oceania	australia	nz	o_oceania	egypt	mauritius	sa	o_africa
2007-01-31	8510	36947	2132	3813	158510	45147	4887	27798	25863	12555	1693	19559	49959	76116	46756	17156	1027	5625	52339	1367	1654	5057	756	815	1048	328	494	2645	906	1575	1504	3048	1664	8494	14366	930	3986	6039	2785	825	2727	7580	1749	5077	4942	2200	51913	5575	1033	77007	68190	7778	1039	301	962	4161	3557
2007-02-28	8037	30990	1739	3471	120382	48175	3749	30588	22575	11969	2082	26025	46920	111934	31464	23307	1265	4527	42507	1111	1216	4797	566	856	971	290	664	1944	1068	1977	1425	3779	1574	9103	14016	796	3442	5793	2762	1266	2265	4049	1711	4587	4533	2447	50663	3913	1134	46214	40252	5063	899	245	643	1923	2194
2007-03-31	8756	38849	2201	4547	153855	52269	5480	39195	33087	14060	1603	22361	58843	79239	42071	16091	1016	5873	53444	1232	1731	6356	655	5024	1028	215	775	2730	1119	1867	1729	3325	1644	9755	18555	973	3218	6252	3000	911	2636	4152	1991	4515	5056	1905	57778	4694	1240	60051	52493	6605	953	303	887	4064	3151
2007-04-30	6559	30253	2220	3265	142560	51360	6838	43107	34500	15553	3212	29338	37962	99136	32219	15343	1087	5640	59244	1152	1448	9160	965	611	701	261	802	2855	1251	1103	1512	2602	1321	7858	13137	792	2295	4648	2491	897	2267	3220	1749	2950	4922	1734	42338	3336	1050	68362	58557	8786	1019	804	962	4785	3156
2007-05-31	5916	31180	2317	3641	155604	51348	5295	42047	30555	14995	2064	25261	38813	85198	34408	14952	898	6211	97637	1351	1573	7378	753	415	710	202	618	2794	898	989	1272	1981	1042	6783	10999	677	2568	4623	1541	710	1673	2408	1294	1882	4001	988	29518	2787	668	70147	58832	10160	1155	311	716	2662	3128
2007-06-30	5279	34838	2302	5136	180643	59152	5299	35997	29419	23153	1896	25551	41289	77239	38027	16868	1364	6583	80829	1383	2423	5968	858	628	883	445	905	3347	1362	911	1219	1530	1053	6130	9677	569	2476	4540	2003	685	2577	2197	1391	2088	3251	819	27587	2279	762	80123	66784	12414	925	318	760	3079	2908
2007-07-31	6827	39483	3073	4219	193024	50725	5537	35032	32250	24935	2147	31990	49234	108881	46123	24849	1554	8274	58731	1438	3715	6384	953	577	1018	1112	1878	6703	2612	1361	2101	2691	730	9451	12388	1196	3073	7568	2494	800	2582	2734	2123	2045	4963	1658	34662	3444	1172	90380	75658	13648	1074	570	1132	3947	3709
2007-08-31	7218	33668	2055	3631	159570	55293	4798	34096	29149	23778	2431	32177	58288	114463	45910	21028	1918	6971	56204	1232	2804	7995	855	1265	1055	1283	1863	6050	2797	1432	2019	2314	818	11861	13544	1149	6079	7224	1767	755	2426	3073	3844	1614	4389	1399	38607	3286	1607	74195	62205	11010	980	603	1322	2712	4438
2007-09-30	5148	27391	2474	3656	136054	49733	6099	32523	27135	15574	1954	22902	54186	76181	30265	16276	1068	6428	55188	1206	1486	5906	628	1465	809	226	555	2468	889	1252	1540	2204	934	6416	13741	680	2819	5519	1953	797	2125	2599	2159	1901	4041	1468	32983	2817	862	84688	71269	12290	1129	312	725	3009	2783
2007-10-31	7980	34968	3461	3292	215886	58591	4985	36179	36655	14631	2555	23224	51825	83831	33383	14426	973	7060	59747	1545	1603	5996	825	542	986	223	617	3014	1087	1473	1655	2974	1213	7217	15364	793	2734	6468	2579	837	2422	3258	2434	2806	5157	1040	41140	3741	1090	87496	74693	11456	1347	421	737	3105	3697
